State,Sum,Value
New Hampshire,2138.3,4.454791667
Alabama,3552.7,7.401458333
Alaska,3894.2,8.112916667
Arizona,3114.7,6.488958333
Arkansas,3231,6.73125
California,3607.6,7.515833333
Colorado,2678.2,5.579583333
Connecticut,2708.3,5.642291667
Delaware,2671.1,5.564791667
District of Columbia,3760,7.833333333
Florida,3068.5,6.392708333
Georgia,2972.7,6.193125
Hawaii,2436.9,5.076875
Idaho,2967.5,6.182291667
Illinois,3418.8,7.1225
Indiana,3073.7,6.403541667
Iowa,2280.2,4.750416667
Kansas,2294.6,4.780416667
Kentucky,3339.8,6.957916667
Louisiana,3598.4,7.496666667
Maine,2899.6,6.040833333
Maryland,2612.8,5.443333333
Massachusetts,2738.9,5.706041667
Michigan,3950.2,8.229583333
Minnesota,2404.6,5.009583333
Mississippi,3735.3,7.781875
Montana,2858.2,5.954583333
Nebraska,1735.8,3.61625
Nevada,3234.8,6.739166667
New Jersey,3114.8,6.489166667
New Mexico,3307,6.889583333
New York,3236.1,6.741875
North Carolina,2863.3,5.965208333
North Dakota,1909.6,3.978333333
Ohio,3316.4,6.909166667
Oklahoma,2533.5,5.278125
Oregon,3535.3,7.365208333
Pennsylvania,3185.5,6.636458333
Puerto Rico,7434.1,15.48770833
Rhode Island,3221,6.710416667
South Carolina,3238.7,6.747291667
South Dakota,1815.3,3.781875
Tennessee,3178.7,6.622291667
Texas,2966.1,6.179375
Utah,2411.2,5.023333333
Vermont,2318.5,4.830208333
Virginia,2337.7,4.870208333
Washington,3466.9,7.222708333
West Virginia,4033.7,8.403541667
Wisconsin,2749.1,5.727291667
Wyoming,2413,5.027083333
Missouri,,6.152
